system:index,dsnr,dur,mag,preval,rate,yod,.geo
0,3.540249824523926,3.0,291.2208251953125,570.8101196289062,97.0736083984375,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.01504084294434,16.636845857421665]}"
1,11.03856372833252,3.0,375.64947509765625,520.0333862304688,125.21649169921875,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.7055413172329,16.663092243766542]}"
2,9.575345993041992,3.0,342.5650329589844,559.1054077148438,114.18833923339844,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.70426857706781,16.71209089227048]}"
3,3.1196248531341553,3.0,203.08949279785156,432.87896728515625,67.69649505615234,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.69977954833804,16.66174531331244]}"
4,2.804675340652466,3.0,263.43017578125,564.2457885742188,87.81006622314453,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.01531751741855,16.63712131048184]}"
5,6.608768939971924,3.0,263.2839660644531,452.26129150390625,87.76132202148438,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.70059905668896,16.66146056961137]}"
6,4.3888773918151855,3.0,307.4703063964844,540.5864868164062,102.49010467529297,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.70608905977558,16.663087956985272]}"
7,4.3429694175720215,3.0,428.9678955078125,616.8743896484375,142.98928833007812,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.68103978301593,16.646021670063682]}"
8,4.773558616638184,3.0,243.4283905029297,401.22308349609375,81.1427993774414,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.6015648846897,16.81048322553974]}"
9,8.956872940063477,3.0,380.6461486816406,515.7190551757812,126.88204956054688,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.6012776893089,16.809653098999316]}"
10,3.7749552726745605,3.0,332.0300598144531,535.757568359375,110.67668914794922,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.7050968730416,16.712919378361367]}"
11,4.811221599578857,3.0,319.106201171875,530.5439453125,106.36873626708984,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.70581518850948,16.663090100720286]}"
12,4.076070785522461,3.0,202.96107482910156,351.8572692871094,67.65369415283203,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.69894330106582,16.659803197028147]}"
13,5.807719707489014,3.0,355.4654235839844,517.5420532226562,118.48847198486328,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.70032309403035,16.661184343319746]}"
14,4.224201202392578,3.0,318.04998779296875,522.184326171875,106.01666259765625,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.70830540991501,16.666411011941804]}"
15,6.090887069702148,3.0,280.323486328125,425.94830322265625,93.44116973876953,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.60129068006107,16.8104876188337]}"
16,5.934838771820068,3.0,447.55694580078125,601.434814453125,149.18565368652344,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.68049416852173,16.646304203745604]}"
17,3.5487561225891113,3.0,337.75152587890625,507.6861572265625,112.5838394165039,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.70552656013791,16.661143756715965]}"
18,5.401500225067139,3.0,280.2017517089844,562.462158203125,93.40058135986328,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.7045404610908,16.711810450062504]}"
19,5.224625587463379,3.0,280.208251953125,555.9671020507812,93.40274810791016,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.69735440520138,16.667053147015707]}"
20,8.075451850891113,3.0,244.61495971679688,388.6685485839844,81.53831481933594,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.69513628347067,16.663451523355544]}"
21,8.372820854187012,3.0,348.0870361328125,498.041015625,116.02900695800781,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.60127335910113,16.80937492513852]}"
