magnitude,yod,coordinate,row,col,anthrome,prec_2001,prec_2002,prec_2003,prec_2004,prec_2005,prec_2006,prec_2007,prec_2008,prec_2009,prec_2010,prec_2011,prec_2012,prec_2013,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,Soil_Grid__bdod_mean,Soil_Grid__cec_mean,Soil_Grid__phh2o_mean,Soil_Grid__soc_mean,tmean_2001,tmean_2002,tmean_2003,tmean_2004,tmean_2005,tmean_2006,tmean_2007,tmean_2008,tmean_2009,tmean_2010,tmean_2011,tmean_2012,tmean_2013,label
245.6140289,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.66311332371806,12.116130616801787]}",8626,30919,32,796,569,584,955,1094,611,856,995,679,845,1055,653,824,0.147741929,0.141734838,0.155115753,0.106797554,0.125847772,0.131548226,0.123906463,0.143116683,0.142408252,0.166979492,0.109819725,0.177263856,0.102339692,135,247,63,127,35954,36010,33004,35921,35973,35945,35948,35917,35956,36006,35939,36034,36032,0
218.9161987,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17973846381597,13.794299343027854]}",8424,30861,25,715,671,487,834,1286,593,1095,1072,1000,1086,819,583,955,1.453216314,1.386166811,1.365020275,1.545450687,1.322285771,1.371884346,1.526263714,1.450457811,1.367033243,1.202720046,1.081632257,1.535925508,1.20501411,142,287,71,91,35824,35838,32914,35783,35826,35817,35818,35758,35828,35866,35782,35884,35875,0
624.3093262,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5118394162196,11.737274300449247]}",8671,30781,32,2184,2005,2020,2362,2098,2506,2905,2008,2162,2098,2350,1350,2123,0.138696507,0.125882864,0.133705869,0.124397255,0.122348666,0.139950037,0.138417959,0.177208468,0.175271958,0.148346588,0.12022236,0.169592857,0.178626001,126,240,59,117,35519,35545,32598,35503,35537,35532,35540,35513,35556,35584,35529,35582,35575,1
403.6552734,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4515131301829,12.01924302910479]}",8637,30894,26,856,636,640,922,1058,671,880,897,695,824,1062,570,779,0.324272811,0.740141749,0.326032102,0.935814142,0.213887811,0.239183411,0.223758936,0.392976224,0.455149591,0.369328648,0.287454844,0.372101218,0.25768581,141,298,67,148,35946,36002,32995,35914,35966,35940,35946,35913,35952,36001,35935,36027,36024,0
364.5480042,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30024638371937,11.986369794828327]}",8641,30876,26,961,713,736,1053,1172,795,1020,1043,800,902,1130,624,858,0.260975808,0.233261526,0.262906939,0.186280638,0.229034901,0.257105768,0.181433275,0.266611367,0.259069651,0.208790198,0.213001803,0.216380537,0.193519384,139,296,68,89,35760,35814,32825,35730,35778,35757,35763,35727,35768,35816,35747,35836,35837,0
329.9832153,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.43389245624985,12.011052759482746]}",8638,30892,26,910,675,672,992,1129,722,947,980,739,874,1141,620,825,0.89793694,1.288918376,0.954819322,1.119315386,1.090576887,0.857117474,1.063592911,0.967899382,1.033875346,1.189372301,1.122532964,0.774493456,0.755582154,141,323,69,80,35861,35918,32918,35830,35879,35855,35862,35827,35867,35915,35848,35942,35937,0
232.3618774,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.897868757983,15.042050943435624]}",8274,30827,22,564,622,458,650,1164,566,1006,883,926,985,566,543,679,1.024497032,0.916650295,0.921685457,1.148379803,0.936572015,1.013964891,0.992103755,0.950922966,0.903469086,0.780128241,1.002862811,0.465056986,0.552333593,145,327,70,151,35962,35975,33050,35927,35920,35955,35941,35904,35978,35987,35952,36001,35986,0
291.5549622,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26190432737262,13.230770552409885]}",8492,30871,25,996,777,709,1042,1536,707,1252,1249,1081,1113,1077,669,1155,3.323241711,3.931019783,3.887075424,3.628442287,3.981446028,4.231327057,4.743172169,4.937245369,5.353222847,6.352910995,6.343279839,7.847434998,6.822190285,140,169,65,58,35671,35697,32765,35639,35692,35669,35672,35614,35673,35718,35623,35735,35738,0
277.1272583,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31751062519348,14.17698260410562]}",8378,30878,25,631,600,406,677,1138,492,949,901,850,922,689,496,732,1.038862348,1.013501763,1.012584209,1.140704513,1.062751532,1.200013638,1.266258121,0.995141029,1.055776954,0.891523957,0.899735689,0.727629542,0.858119786,151,336,71,55,35941,35953,33026,35896,35932,35936,35937,35885,35956,35982,35918,36003,35984,0
224.2495117,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.00209808992719,11.947092677104058]}",8646,30840,12,1130,960,986,1277,1308,1103,1343,1134,1023,1028,1288,659,1037,4.609449387,3.969893456,4.512050152,4.402776718,4.728591919,3.938833237,5.124779701,4.476617813,4.584476471,4.215726852,3.438868284,3.72742939,3.597018242,140,267,69,66,35779,35825,32842,35752,35800,35783,35792,35753,35798,35838,35772,35853,35848,1
353.796814,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33119201635046,12.05492542422265]}",8633,30879,25,1110,816,870,1216,1433,892,1199,1168,944,1042,1295,718,1044,1.493999839,1.559468627,1.489984035,1.454986334,1.581803918,1.569391489,1.465097189,1.476070642,1.384126663,1.299296975,1.241639256,0.897719145,0.841316879,137,285,66,80,35757,35809,32821,35725,35774,35752,35758,35721,35759,35812,35739,35830,35829,0
313.1584167,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26257985806214,11.994448512356675]}",8640,30871,26,836,635,686,955,1064,763,1003,896,751,801,1046,539,793,0.819975019,0.87172246,0.841352284,0.947956204,0.753578305,0.78003186,0.998993933,0.96578753,0.934604287,0.958729804,1.028974175,0.654915035,0.700034142,138,326,69,79,35765,35818,32829,35735,35784,35763,35768,35733,35774,35821,35751,35839,35839,0
456.9697876,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73447528897799,13.711820536084156]}",8434,30928,25,961,788,566,970,1544,580,1174,1169,1047,1032,991,640,1037,1.660058498,1.613070965,1.612350702,1.741912842,1.639814496,1.622115374,1.664852738,1.475023985,1.38534677,2.012092829,1.912876964,1.919836521,2.033277035,140,167,66,148,35783,35802,32872,35741,35800,35777,35778,35734,35796,35832,35749,35857,35836,0
265.4603882,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31427275557247,12.034477864128368]}",8635,30877,31,1019,740,775,1096,1326,828,1108,1074,855,930,1183,651,920,1.001620173,0.978585601,1.029296041,0.965374529,0.960013032,0.893912256,1.006052971,1.045947909,0.821857214,1.047789335,1.000963807,0.769748807,0.952627003,139,315,69,87,35783,35837,32847,35753,35803,35781,35787,35750,35789,35840,35767,35860,35860,0
864.8513184,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.70489892176786,12.813179276398959]}",8542,30924,12,950,669,641,1028,1416,599,1078,1152,884,892,1096,680,1028,8.022729874,8.224675179,6.836328983,7.824516296,8.708552361,8.586238861,8.977025986,10.74326897,10.01948833,9.675724983,9.995919228,10.48773479,10.09514427,142,217,66,53,35693,35733,32777,35660,35725,35688,35687,35648,35694,35744,35654,35767,35770,1
282.2518311,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.95062012118242,13.508112538841022]}",8459,30954,25,927,738,540,943,1441,540,1085,1098,911,901,976,627,934,1.935530663,2.083093882,2.053924084,1.700858474,1.719894528,1.883074045,1.774286509,1.803359747,1.626888156,1.847073078,1.410047054,2.234778643,2.29225111,142,206,70,144,35743,35763,32828,35701,35765,35732,35736,35698,35753,35790,35705,35818,35802,0
851.2034912,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6717576742429,12.976823554767105]}",8522,30920,11,1003,710,653,1046,1489,625,1147,1204,945,947,1129,684,1066,2.631768227,2.49240756,2.395642042,2.278152943,2.106949329,2.197937489,2.34549737,2.512210369,2.309938908,2.277437687,2.021468878,2.786858082,2.816200733,0,0,0,0,35693,35727,32778,35659,35722,35688,35688,35642,35692,35741,35648,35765,35765,0
387.8174744,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40246887037904,11.981175948859542]}",8642,30888,26,894,675,697,994,1117,747,959,967,758,889,1098,601,836,1.14891386,1.21397543,1.179924011,1.36997211,1.088742971,1.082776546,1.076630831,1.243139267,1.351446509,1.153423429,1.193426609,0.841795206,0.927432656,144,309,68,84,35856,35911,32913,35826,35872,35850,35859,35823,35860,35912,35843,35936,35933,0
386.9953613,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.43060935080429,12.006905733856565]}",8639,30891,26,938,693,692,1031,1173,751,983,1019,764,901,1173,641,854,0.615429282,1.291212916,0.653650284,1.029100657,0.962765932,0.527873755,1.07715416,0.622577488,0.706249774,1.205685258,1.101975441,0.701037407,0.6232692,144,302,68,85,35856,35910,32911,35822,35873,35847,35855,35821,35859,35910,35840,35932,35932,0
304.8473511,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.58852725777707,12.999975361016698]}",8519,30790,25,1117,1107,1102,1300,1544,1157,1553,1375,1332,1404,1290,819,1382,1.904015183,1.978491306,1.821897388,1.969749331,1.631586313,1.681017756,1.827758312,1.494763374,2.123997211,3.270357132,2.50118494,3.267608166,2.626812696,141,267,69,80,35659,35675,32742,35633,35680,35667,35667,35612,35674,35705,35620,35706,35719,0
